Name,Date,Days since incident,Form of Incident,Key Motivation,Fatalities,Injured,Details/Description,Extra-Parliamentary Groups and Networks,PB Role,City,State/Province/Region,Country,Source,Source 2,Source 3,Date added,Note,Contested,Attachments,Location,Notes,Party,Party Name (from Party)
"Miami, Florida, USA",10/17/18,947,,,,,Democratic Campaign Office,Proud Boys,Targeted,Miami,Florida,USA,https://thesternfacts.com/miami-gop-chairman-just-caught-leading-proud-boys-in-attack-on-democratic-campaign-office-319216540f79,,,18/5/2021 8:36am,,checked,,"Miami, Florida, USA",🔵 eyJpIjoiRmxvcmlkYSIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiRmxvcmlkYSwgVVNBIiwibGF0IjoyNy42NjQ4Mjc0LCJsbmciOi04MS41MTU3NTM1LCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGlzalUzT2ZnNHpBYU93bCJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRrYzNDM0NBYzhiVmp1USJ9LCJlIjoxNjIzOTExODA1ODMwfQ==,,
"Portland, Oregon, USA",10/15/18,949,,,,,Flash March for Law and Order in PDX,Proud Boys,Coattended,Portland,Oregon,USA,https://www.thestranger.com/slog/2018/10/15/33890587/joey-gibson-encouraged-proud-boy-violence-in-portland-they-are-going-to-feel-the-pain,,,18/5/2021 8:38am,,,,"Portland, Oregon, USA",🔵 eyJpIjoiT3JlZ29uIiwibyI6eyJzdGF0dXMiOiJPSyIsImZvcm1hdHRlZEFkZHJlc3MiOiJPcmVnb24sIFVTQSIsImxhdCI6NDMuODA0MTMzNCwibG5nIjotMTIwLjU1NDIwMTIsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTE5MzY0NTR9,,
"Perth, Austrailia, AU",10/13/18,951,,,,,United Against Rascism Clash w/ Proud Boys,Proud Boys,Targeted,Perth,Austrailia,AU,https://www.news.com.au/national/western-australia/protesters-exchange-verbal-barbs-at-pauline-hanson-meeting-at-botanica-innaloo/news-story/e4356a8de73b610a66fde7ba1882fe6d,,,18/5/2021 8:37am,,,,"Perth, Austrailia, AU",🔵 eyJpIjoiQXVzdHJhaWxpYSIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiQXVzdHJhbGlhIiwibGF0IjotMjUuMjc0Mzk4LCJsbmciOjEzMy43NzUxMzYsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTE4NDI5MDh9,,
"Portland, Oregon, USA",10/13/18,951,,,,,Law and Order March,Proud Boys,Coattended,Portland,Oregon,USA,https://www.rawstory.com/2018/10/watch-portland-rightwing-law-order-march-erupts-huge-bloody-brawl/,,,18/5/2021 8:44am,,,,"Portland, Oregon, USA",🔵 eyJpIjoiT3JlZ29uIiwibyI6eyJzdGF0dXMiOiJPSyIsImZvcm1hdHRlZEFkZHJlc3MiOiJPcmVnb24sIFVTQSIsImxhdCI6NDMuODA0MTMzNCwibG5nIjotMTIwLjU1NDIwMTIsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTIyNTI1Njd9,,
"New York, New York, USA",10/12/18,952,,,,,NY 9 Violent Altercation,Proud Boys,Organized,New York,New York,USA,https://www.amny.com/news/proud-boys-nyc-1.22020607,,,18/5/2021 8:58am,,,,"New York, New York, USA",🔵 eyJpIjoiTmV3IFlvcmsiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6Ik5ldyBZb3JrLCBOWSwgVVNBIiwibGF0Ijo0MC43MTI3NzUzLCJsbmciOi03NC4wMDU5NzI4LCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGlzalUzT2ZnNHpBYU93bCJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRrYzNDM0NBYzhiVmp1USJ9LCJlIjoxNjIzOTEzMTMwNzk5fQ==,,
"Providence, Rhode Island, USA",10/6/18,958,,,,,Resist Marxism,Proud Boys,Coattended,Providence,Rhode Island,USA,http://news2share.com/start/2018/10/06/clashes-as-providence-freedom-rally-faces-off-with-antifa/,,,18/5/2021 8:38am,,checked,,"Providence, Rhode Island, USA",🔵 eyJpIjoiUmhvZGUgSXNsYW5kIiwibyI6eyJzdGF0dXMiOiJPSyIsImZvcm1hdHRlZEFkZHJlc3MiOiJSaG9kZSBJc2xhbmQsIFVTQSIsImxhdCI6NDEuNTgwMDk0NSwibG5nIjotNzEuNDc3NDI5MSwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpc2pVM09mZzR6QWFPd2wiXSwibG9jYXRpb25GaWVsZElkIjoiZmxka2MzQzNDQWM4YlZqdVEifSwiZSI6MTYyMzkxMTg5NTI5OX0=,,
"Toronto, Ontario, CA",10/5/18,959,,,,,United Conservative Party Club,Proud Boys,Coattended,Toronto,Ontario,CA,https://www.vice.com/en_ca/article/9k785p/alberta-conservative-candidates-took-photos-with-soldiers-of-odin,,,18/5/2021 8:44am,,checked,,"Toronto, Ontario, CA",🔵 eyJpIjoiT250YXJpbyIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiT250YXJpbywgQ2FuYWRhIiwibGF0Ijo1MS4yNTM3NzUsImxuZyI6LTg1LjMyMzIxNCwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpc2pVM09mZzR6QWFPd2wiXSwibG9jYXRpb25GaWVsZElkIjoiZmxka2MzQzNDQWM4YlZqdVEifSwiZSI6MTYyMzkxMjIzOTM2M30=,,
"Austin, Texas, USA",9/26/18,968,,,,,Free Alex Jones,Proud Boys,Coattended,Austin,Texas,USA,https://www.splcenter.org/hatewatch/2018/09/26/police-intervened-stop-proud-boy-becoming-violent-free-alex-jones-event-austin,,,18/5/2021 8:37am,,checked,,"Austin, Texas, USA",🔵 eyJpIjoiVGV4YXMiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6IlRleGFzLCBVU0EiLCJsYXQiOjMxLjk2ODU5ODgsImxuZyI6LTk5LjkwMTgxMzEsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTE4NzA5MTd9,,
"Fort Worth, Texas, USA",9/22/18,972,,,,,Ye Olde Bull and Bush Bar,Proud Boys,Targeted,Fort Worth,Texas,USA,https://www.fwweekly.com/2018/09/26/proud-boys-crash-local-pub/,,,18/5/2021 8:37am,,checked,,"Fort Worth, Texas, USA",🔵 eyJpIjoiVGV4YXMiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6IlRleGFzLCBVU0EiLCJsYXQiOjMxLjk2ODU5ODgsImxuZyI6LTk5LjkwMTgxMzEsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTE4MTk4MzN9,,
"Vaughan, Ontario, CA",9/22/18,972,,,,,Ford Fest ,Proud Boys,Coattended,Vaughan,Ontario,CA,https://pressprogress.ca/doug-ford-stands-behind-this-photo-he-took-with-a-group-of-extremely-racist-white-nationalists/,,,18/5/2021 8:37am,,checked,,"Vaughan, Ontario, CA",🔵 eyJpIjoiT250YXJpbyIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiT250YXJpbywgQ2FuYWRhIiwibGF0Ijo1MS4yNTM3NzUsImxuZyI6LTg1LjMyMzIxNCwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpc2pVM09mZzR6QWFPd2wiXSwibG9jYXRpb25GaWVsZElkIjoiZmxka2MzQzNDQWM4YlZqdVEifSwiZSI6MTYyMzkxMTg0MDgzMX0=,,
"Kansas City, Missouri, USA",9/18/18,976,,,,,Instigation & Fight,Proud Boys,Targeted,Kansas City,Missouri,USA,https://kcpb.store/proud-boys-are-not-racist/,,,18/5/2021 8:37am,,checked,,"Kansas City, Missouri, USA",🔵 eyJpIjoiTWlzc291cmkiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6Ik1pc3NvdXJpLCBVU0EiLCJsYXQiOjM3Ljk2NDI1MjksImxuZyI6LTkxLjgzMTgzMzQsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTE4NTM4OTV9,,
"Toronto, Ontario, CA",9/8/18,986,,,,,PEGIDA Rally 9/11 as a rallying point,"Proud Boys,Pegida",Coattended,Toronto,Ontario,CA,"https://north99.org/2018/09/09/toronto-police-used-force-to-protect-white-supremacist-hate-group-rally/ 
http://anti-racistcanada.blogspot.com/2018/09/pegida-canada-members-in-nathan.html 
https://north-shore.info/2018/09/12/report-back-from-september-8-anti-fascist-action-in-toronto/",,,18/5/2021 8:37am,,,,"Toronto, Ontario, CA",🔵 eyJpIjoiT250YXJpbyIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiT250YXJpbywgQ2FuYWRhIiwibGF0Ijo1MS4yNTM3NzUsImxuZyI6LTg1LjMyMzIxNCwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpc2pVM09mZzR6QWFPd2wiXSwibG9jYXRpb25GaWVsZElkIjoiZmxka2MzQzNDQWM4YlZqdVEifSwiZSI6MTYyMzkxMTg2ODQxN30=,,
"Houston, Texas, USA",9/3/18,991,,Anti-Muslim,,,Islamic Society of North America’s conference,Proud Boys,Targeted,Houston,Texas,USA,https://thinkprogress.org/heres-how-a-texas-militia-planned-to-assault-islamic-convention-participants-in-houston-709d651ae25b/,,,18/5/2021 8:44am,,checked,,"Houston, Texas, USA",🔵 eyJpIjoiVGV4YXMiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6IlRleGFzLCBVU0EiLCJsYXQiOjMxLjk2ODU5ODgsImxuZyI6LTk5LjkwMTgxMzEsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTIyNDM4OTZ9,,
"Seattle, Washington, USA",8/20/18,1005,,,,,Liberty or Death Rally,Proud Boys,Coattended,Seattle,Washington,USA,https://www.splcenter.org/hatewatch/2017/08/15/seattle-patriot-prayer-rally-takes-twist-leader-gibson-denounces-supremacists,,,18/5/2021 8:38am,,,,"Seattle, Washington, USA",🔵 eyJpIjoiV2FzaGluZ3RvbiIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiV2FzaGluZ3RvbiwgVVNBIiwibGF0Ijo0Ny43NTEwNzQxLCJsbmciOi0xMjAuNzQwMTM4NSwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpc2pVM09mZzR6QWFPd2wiXSwibG9jYXRpb25GaWVsZElkIjoiZmxka2MzQzNDQWM4YlZqdVEifSwiZSI6MTYyMzkxMTg4MzQ0NX0=,,
"Toronto, Ontario, CA",8/18/18,1007,,,,,Hamilton Against Fascism Fundraiser,Proud Boys,Targeted,Toronto,Ontario,CA,https://www.facebook.com/events/568676100194933/,,,18/5/2021 8:59am,,,,"Toronto, Ontario, CA",🔵 eyJpIjoiT250YXJpbyIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiT250YXJpbywgQ2FuYWRhIiwibGF0Ijo1MS4yNTM3NzUsImxuZyI6LTg1LjMyMzIxNCwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpc2pVM09mZzR6QWFPd2wiXSwibG9jYXRpb25GaWVsZElkIjoiZmxka2MzQzNDQWM4YlZqdVEifSwiZSI6MTYyMzkxMzE1NjU1N30=,,
"Plaquemine, Louisiana, USA",8/12/18,1013,,,,,Louisiana Sheriff Fired For Association with Proud Boys,Proud Boys,Organized,Plaquemine,Louisiana,USA,https://www.theadvocate.com/new_orleans/news/crime_police/article_753dad6c-a1a2-11e8-9694-e34608514381.html,,,18/5/2021 8:35am,should be in policy updates and other news,checked,,"Plaquemine, Louisiana, USA",🔵 eyJpIjoiTG91aXNpYW5hIiwibyI6eyJzdGF0dXMiOiJPSyIsImZvcm1hdHRlZEFkZHJlc3MiOiJMb3Vpc2lhbmEsIFVTQSIsImxhdCI6MzAuOTg0Mjk3NywibG5nIjotOTEuOTYyMzMyNjk5OTk5OTksImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTE3NDc3MTh9,,
"Portland, Oregon, USA",7/24/18,1032,,,,,Ice Protest Camp,Proud Boys,Targeted,Portland,Oregon,USA,https://www.youtube.com/watch?v=JEe5ZSo5htE&feature=youtu.be,,,18/5/2021 8:38am,,,,"Portland, Oregon, USA",🔵 eyJpIjoiT3JlZ29uIiwibyI6eyJzdGF0dXMiOiJPSyIsImZvcm1hdHRlZEFkZHJlc3MiOiJPcmVnb24sIFVTQSIsImxhdCI6NDMuODA0MTMzNCwibG5nIjotMTIwLjU1NDIwMTIsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTE5MzA0NTF9,,
"Toronto, Ontario, CA",7/21/18,1035,,,,,PEGIDA Rally,"Proud Boys,Pegida",Coattended,Toronto,Ontario,CA,"https://www.thestar.com/news/gta/2018/07/21/counterprotesters-say-five-of-their-delegates-were-arrested-during-an-anti-islam-rally-in-toronto.
html https://www.youtube.com/watch?v=gBmYZ-b_U2Y https://north-shore.info/2018/07/25/toronto-cops-n-klan-hand-in-hand-reportback-commentary-from-the-july-21-counter-demo/",,,18/5/2021 8:38am,,,,"Toronto, Ontario, CA",🔵 eyJpIjoiT250YXJpbyIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiT250YXJpbywgQ2FuYWRhIiwibGF0Ijo1MS4yNTM3NzUsImxuZyI6LTg1LjMyMzIxNCwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpc2pVM09mZzR6QWFPd2wiXSwibG9jYXRpb25GaWVsZElkIjoiZmxka2MzQzNDQWM4YlZqdVEifSwiZSI6MTYyMzkxMTkyNjQzMH0=,,
"Los Angeles, California, USA",7/15/18,1041,,,,,The Griffin,Proud Boys,Targeted,Los Angeles,California,USA,https://www.washingtonpost.com/news/post-nation/wp/2018/07/16/squeal-and-cluck-your-hoofs-watch-leftists-confront-the-right-wing-proud-boys-in-an-l-a-bar/?utm_term=.45b21ea04055,,,18/5/2021 8:59am,,checked,,"Los Angeles, California, USA",🔵 eyJpIjoiQ2FsaWZvcm5pYSIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiQ2FsaWZvcm5pYSwgVVNBIiwibGF0IjozNi43NzgyNjEsImxuZyI6LTExOS40MTc5MzI0LCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGlzalUzT2ZnNHpBYU93bCJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRrYzNDM0NBYzhiVmp1USJ9LCJlIjoxNjIzOTEzMTU5NDc2fQ==,,
"Louisville, Kentucky, USA",7/14/18,1042,,,,,Anti Occupy Ice,Proud Boys,Targeted,Louisville,Kentucky,USA,https://www.theguardian.com/us-news/2018/jul/21/occupy-ice-activists-rival-counter-protesters,,,18/5/2021 8:37am,,,,"Louisville, Kentucky, USA",🔵 eyJpIjoiS2VudHVja3kiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6IktlbnR1Y2t5LCBVU0EiLCJsYXQiOjM3LjgzOTMzMzIsImxuZyI6LTg0LjI3MDAxNzksImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTE4MjkyOTN9,,
"Toronto, Ontario, CA",7/7/18,1049,,,,,London Rally,Proud Boys,Coattended,Toronto,Ontario,CA,https://pegidacanada.wordpress.com/2018/07/10/london-rally-july-7-2018/,,,18/5/2021 8:38am,,,,"Toronto, Ontario, CA",🔵 eyJpIjoiT250YXJpbyIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiT250YXJpbywgQ2FuYWRhIiwibGF0Ijo1MS4yNTM3NzUsImxuZyI6LTg1LjMyMzIxNCwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpc2pVM09mZzR6QWFPd2wiXSwibG9jYXRpb25GaWVsZElkIjoiZmxka2MzQzNDQWM4YlZqdVEifSwiZSI6MTYyMzkxMTkyODQ1N30=,,
"Portland, Oregon, USA",7/3/18,1053,,,,,"9 arrests, several hospitalizations",Proud Boys,Coattended,Portland,Oregon,USA,https://www.splcenter.org/hatewatch/2018/07/03/portland-far-right-rally-once-again-quickly-turns-violent-march-becomes-riot,,,18/5/2021 8:36am,,checked,,"Portland, Oregon, USA",🔵 eyJpIjoiT3JlZ29uIiwibyI6eyJzdGF0dXMiOiJPSyIsImZvcm1hdHRlZEFkZHJlc3MiOiJPcmVnb24sIFVTQSIsImxhdCI6NDMuODA0MTMzNCwibG5nIjotMTIwLjU1NDIwMTIsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTE3ODIzNTh9,,
"Louisville, Kentucky, USA",7/1/18,1055,,Anti Left,,,Democratic Socialist Gathering,Proud Boys,Targeted,Louisville,Kentucky,USA,"https://unicornriot.ninja/2018/far-right-nationalists-attack-democratic-socialist-gathering-in-kentucky/
",,,19/5/2021 1:11pm,,,,"Louisville, Kentucky, USA",🔵 eyJpIjoiS2VudHVja3kiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6IktlbnR1Y2t5LCBVU0EiLCJsYXQiOjM3LjgzOTMzMzIsImxuZyI6LTg0LjI3MDAxNzksImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjQwMTQ3MDc1NzN9,,
"Portland, Oregon, USA",6/30/18,1056,,,,,Rally,Proud Boys,Coattended,Portland,Oregon,USA,https://www.splcenter.org/hatewatch/2018/07/25/another-charlottesville-threats-violence-loom-over-upcoming-portland-proud-boys-patriot,,,18/5/2021 8:35am,,,,"Portland, Oregon, USA",🔵 eyJpIjoiT3JlZ29uIiwibyI6eyJzdGF0dXMiOiJPSyIsImZvcm1hdHRlZEFkZHJlc3MiOiJPcmVnb24sIFVTQSIsImxhdCI6NDMuODA0MTMzNCwibG5nIjotMTIwLjU1NDIwMTIsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTE3MzI4OTF9,,
"Toronto, Ontario, CA",6/3/18,1083,,,,,Border Protest,Proud Boys,Coattended,Toronto,Ontario,CA,https://anti-racistcanada.blogspot.com/2018/06/ronny-cameron-at-june-3-border-protest.html,,,18/5/2021 8:36am,,,,"Toronto, Ontario, CA",🔵 eyJpIjoiT250YXJpbyIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiT250YXJpbywgQ2FuYWRhIiwibGF0Ijo1MS4yNTM3NzUsImxuZyI6LTg1LjMyMzIxNCwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpc2pVM09mZzR6QWFPd2wiXSwibG9jYXRpb25GaWVsZElkIjoiZmxka2MzQzNDQWM4YlZqdVEifSwiZSI6MTYyMzkxMTc2NTg0NX0=,,
" Bethlehem, Pennsylvania, USA",5/22/18,1095,,,,,Stalking and Intimidation Attempt of Vic Berger,Proud Boys,Organized, Bethlehem,Pennsylvania,USA," https://www.huffpost.com/entry/far-right-proud-boys-menaced-twitter-user-on-his-doorstep_n_5b06de68e4b07c4ea1060e92?guccounter=1&guce_referrer=aHR0cHM6Ly90LmNvLzVXR2NYOVMwdTE&guce_referrer_sig=AQAAAL2N9Qu9vit9Ep2UxWmteQxkaOYyHCnqPYgQGA3KXarrozXCsUkMWW-BLa8HQJcnZ6La0OzmSWhhPGOovR8pUMGq9lqRAKiP8moafvqU8ujVhUwIYgYezaNQFFNwkbGSLeF3Ke4ReLG08uIhpOfDymhTWPpNTySd7MrDTwQQ2I1j
",,,18/5/2021 8:59am,,,," Bethlehem, Pennsylvania, USA",🔵 eyJpIjoiUGVubnN5bHZhbmlhIiwibyI6eyJzdGF0dXMiOiJPSyIsImZvcm1hdHRlZEFkZHJlc3MiOiJQZW5uc3lsdmFuaWEsIFVTQSIsImxhdCI6NDEuMjAzMzIxNiwibG5nIjotNzcuMTk0NTI0NywiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpc2pVM09mZzR6QWFPd2wiXSwibG9jYXRpb25GaWVsZElkIjoiZmxka2MzQzNDQWM4YlZqdVEifSwiZSI6MTYyMzkxMzE1MjYwOX0=,,
"Vancouver, Washington, USA",5/11/18,1106,,,,,Assault of Michaael Mosley,Proud Boys,Coattended,Vancouver,Washington,USA,https://www.columbian.com/news/2018/aug/19/altercation-at-mall-between-proud-boy-teen-still-simmers/,,,18/5/2021 8:36am,,,,"Vancouver, Washington, USA",🔵 eyJpIjoiV2FzaGluZ3RvbiIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiV2FzaGluZ3RvbiwgVVNBIiwibGF0Ijo0Ny43NTEwNzQxLCJsbmciOi0xMjAuNzQwMTM4NSwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpc2pVM09mZzR6QWFPd2wiXSwibG9jYXRpb25GaWVsZElkIjoiZmxka2MzQzNDQWM4YlZqdVEifSwiZSI6MTYyMzkxMTc2NzQ3MX0=,,
"Portland, Oregon, USA",4/29/18,1118,,,,,Protests,Proud Boys,Coattended,Portland,Oregon,USA,https://www.wweek.com/news/2017/04/26/right-wing-group-plans-free-speech-march-in-wake-of-east-portland-parade-cancellation/,,,18/5/2021 8:58am,,,,"Portland, Oregon, USA",🔵 eyJpIjoiT3JlZ29uIiwibyI6eyJzdGF0dXMiOiJPSyIsImZvcm1hdHRlZEFkZHJlc3MiOiJPcmVnb24sIFVTQSIsImxhdCI6NDMuODA0MTMzNCwibG5nIjotMTIwLjU1NDIwMTIsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTMxMjIzMDR9,,
"Quebec, Quebec, CA",4/28/18,1119,,,,,PEGIDA vs Antifa Rally,"Proud Boys,Pegida",Coattended,Quebec,Quebec,CA,"https://www.youtube.com/watch?v=_BR59rT950M 
http://anti-racistcanada.blogspot.com/2018/05/doug-fords-support-among-white.html",,,18/5/2021 8:35am,,,,"Quebec, Quebec, CA",🔵 eyJpIjoiUXVlYmVjIiwibyI6eyJzdGF0dXMiOiJPSyIsImZvcm1hdHRlZEFkZHJlc3MiOiJRdWViZWMgQ2l0eSwgUUMsIENhbmFkYSIsImxhdCI6NDYuODEzODc4MywibG5nIjotNzEuMjA3OTgwOSwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpc2pVM09mZzR6QWFPd2wiXSwibG9jYXRpb25GaWVsZElkIjoiZmxka2MzQzNDQWM4YlZqdVEifSwiZSI6MTYyMzkxMTc0MjMwOX0=,,
